id	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
TCGA-06-0125-02A	0	0	1.98838055955247e-05	0.0994474987800036	0	0.139697160458636	0	0.0338123479147115	0	0	0	0.0281387224201469	0.174046545267118	0.0498113060796537	0.107253532237364	0.260446726045286	0	0	0	0.00210950471403527	0.0836424565185454	0.0215743157589044	0	0.238743526039304	0.98991275931222
TCGA-06-2558-01A	0.0274514387225732	0	0	0.0433532311336208	0	0.0829734896846139	0	0	0	0	0	0.0474540831378437	0.226873520856228	0.074957738331186	0.0218042024735756	0.360498077061541	0	0	0	0.0101445686069805	0	0.104489649991837	0	0.351442270895863	0.945623751271649
TCGA-06-5414-01A	0	0	0	0.0141724330707868	0	0.209413338640643	0	0	0	0	0.00833302415443219	0.00805481071381871	0.154110812995559	0.135784284496387	0.0655808623876178	0.261735145006912	0	0	0.0250142360208012	0	0.0782657525893271	0.0395352999237153	0	0.370745388393887	0.930589719267812
TCGA-26-5133-01A	0.0136687490358913	0.0303540344168001	0.0184058109067962	0.159219005833365	0	0.0388179244380758	0	0.0321399965869021	0	0	0	0.0361836975749422	0.176280545845348	0.0163511732955731	0.0754514251098853	0.312844298512816	0	0	0.0709431962890903	0	0.01568342949068	0.00365671266383383	0.03	0.151302483146418	1.02034656152629
TCGA-32-4213-01A	0.0180957770759673	0	0	0	0	0.246257040241929	0	0.0172480180341887	0	0.0116760114733131	0	0.048836022085011	0.145868762221079	0.043032816329709	0.107793682354645	0.259485710640843	0	0	0.0537015382488727	0	0	0.0480046212944429	0	0.404115498004101	0.914098752428471
TCGA-06-0210-01A	0	0.0375611569041471	0	0	0	0.178109311116713	0	0	0	0.0129157099852474	0.0326305517827222	0	0.191205028887329	0.0668097979079778	0.0050368979204426	0.284663451084013	0	0.0162533893100079	0	0.0339588171813826	0	0.140855887920018	0	0.404157761999761	0.915964582670966
TCGA-41-2572-01A	0	0.0099312518110826	0	0.0935391225874853	0	0.166069042106279	0	0.0129233826835229	0	0	0.0172585660763282	0.0284911354596173	0.0985028267487414	0.00101368075431904	0.117055020990773	0.357390470190069	0	0	0.0408902444473734	0	0.0244152589101112	0.0325199972342977	0	0.245595810962978	0.986926143568051
TCGA-06-5417-01A	0	0.018204317122892	0	0.0194110447221587	0	0.043877224872027	0.0105489292790359	0.0154037947049365	0	0	0	0.0307714227166471	0.148659513632229	0	0.034645193894039	0.535447646700074	0	0.00466438291515694	0.105825862703805	0	0	0.0325406667369996	0	0.243737088869139	0.997980492720301
TCGA-19-2624-01A	0	0	0	0.0881501596132572	0	0.0289469295429552	0	0.121988270082488	0	0	0	0.0313224479067558	0.138851621549565	0.000652211644558183	0.0565596140054404	0.431310743773299	0	0	0	0.070477317766916	0.031740684114765	0	0.36	0.0798586964529864	1.0613420320206
TCGA-14-1823-01A	0	0.00107032273726317	0	0.00508727625008692	0	0.202069429197216	0	0	0.010454024848301	0	0	0.0248761259837015	0.319979829310128	0.0348520825401541	0.0538282444452649	0.216035388855864	0	0	0.0208136102738554	0	0.0774559740854188	0.0334776914727456	0	0.347307298748289	0.942606446483194
TCGA-02-0055-01A	0	0.0406663703732229	0	0	0	0.196084601607218	0.0059423799397846	0	0	0.052681989201	0.0228775785394788	0	0.193281586844182	0.0938142122694176	0.0378229860580342	0.203884207693751	0	0.00522054803123481	0	0.0540166980323396	0.0170450319026228	0.0766618095077133	0	0.392172259890639	0.919814038627619
TCGA-32-1982-01A	0.0166943600719988	0	0.00933679814858416	0.0494964230959013	0	0.179581907451081	0	0.0339322719205033	0	0.0200395163045038	0.0266704275787245	0.000949016391422928	0.114281936002294	0	0.0627579369897864	0.284306703608249	0	0	0	0.0347476794723914	0.091062443329845	0.0761425796347149	0	0.372492156514525	0.928176254028648
TCGA-06-2570-01A	0.0287920441182308	0	0	0.00200750180999094	0	0.116770786914322	0	0.0166772830524399	0	0	0.0350505316343411	0.0153000749627415	0.189633796988119	0.069775231731405	0.0536519311687706	0.334175241880203	0	0	0.00338383854975414	0	0.0365667935514793	0.0982149436382026	0	0.371835833947156	0.932085236303748
